"Name","Latitude","Longitude","Elevation","X","Y","Z"
"YKRO00CIV","6.8706","354.7599","270.6000","6306177.6042","-578355.6579","757924.2022"
"YONS00KOR","37.5411","127.0013","97.3000","-3047460.9900","4043921.5249","3865184.0464"
"YSSK00RUS","47.0297","142.7167","91.7000","-3465271.4333","2638231.4727","4644020.9159"
"ZAMB00ZMB","-14.5745","28.3110","1325.3000","5435706.3164","2928172.5747","-1594582.2184"
"ZECK00RUS","43.7884","41.5651","1167.4000","3450556.5744","3059786.1577","4391162.3486"
"ZIM200CHE","46.8771","7.4650","956.9000","4330663.8223","567453.7562","4632447.0130"
"ZIM300CHE","46.8771","7.4650","956.9000","4330663.8223","567453.7562","4632447.0130"
"ZIMM00CHE","46.8771","7.4653","956.8000","4330661.3451","567472.6521","4632447.0117"
"HAFL","46.9913","7.4683","621.3010","4321843.4721","566550.4413","4641558.4691"
"DUVA","48.5224","6.1695","331.4320","4208076.1474","454875.9016","4755798.4683"
"RIVA","45.4101","1.0658","391.5320","4484749.0401","83431.7247","4519737.2950"
"CRO2","45.2718","5.8914","285.4710","4472635.5149","461523.9196","4508857.2750"
"NICE","43.7255","7.3000","427.3109","4579497.1914","586644.8211","4386396.4172"
"GRBS","46.9104","2.7275","247.2470","4360191.0093","207716.1285","4635146.6240"
"HAME","48.2626","4.5271","267.2241","4240879.4146","335779.1585","4736564.1526"
"STME","48.8447","2.4242","116.9610","4201763.4174","177884.0679","4779301.8338"
"TOUR","47.1785","5.9237","350.1080","4320201.4670","448258.4266","4655529.8131"
"SIGE","43.4933","5.3336","214.7010","4614492.1260","430801.6464","4367572.1530"
"DMZ0","43.9379","4.6647","192.1060","4585163.7220","374123.9225","4403262.5129"
"WLBH","48.4152","7.3513","818.1190","4206975.5269","542755.1158","4748253.7406"
"ENFP","43.5963","1.3784","218.0500","4625338.9878","111297.7913","4375867.9330"
"MTVA","43.8640","1.6008","255.4930","4604349.4311","128672.8260","4397383.7707"
"WL36","47.2151","1.6083","136.6090","4338554.9643","121819.1974","4658137.2821"
"KIKI","43.7621","6.7586","1382.1850","4582727.3436","543096.0747","4389996.1234"
"RICE","48.7815","2.4300","87.0480","4207010.5824","178534.5289","4774650.6810"
"GPTR","48.4076","2.9475","174.6880","4236434.3332","218131.4393","4747212.3825"
"ENSM","47.2516","5.9932","357.3790","4313726.9643","452872.5041","4661056.3483"
"STJ9","48.6217","7.6838","237.2360","4186324.3820","564809.0646","4763029.1991"
"BORD","43.6676","1.3185","205.0610","4619979.6182","106338.3708","4381591.5864"
"CABA","43.9073","2.8393","447.9791","4597299.7775","228005.0872","4400984.9823"
"UCBL","45.7813","4.8701","249.3490","4439861.5920","378296.8218","4548505.8582"
"CDA1","48.4501","1.5132","205.7240","4237052.4211","111929.9669","4750372.1396"
"BEFF","45.7666","4.8796","280.8580","4440988.5193","379133.9034","4547387.6709"
"SCV1","44.9202","6.5496","2328.5350","4495974.4104","516190.9321","4482713.7719"
"PDA1","45.2626","4.8282","214.7170","4481103.4952","378511.5320","4508087.1626"
"LAUR","48.7009","2.5708","147.7670","4213334.6638","189173.1775","4768781.7903"
"AP36","46.7105","1.5575","205.5950","4379688.7849","119080.8866","4619909.0740"
"OFFN","48.6312","7.6171","216.6290","4186179.8194","559826.8163","4763712.1549"
"BIO0","48.0228","7.5629","249.0480","4236818.9351","562522.0728","4718758.5606"
"PROS","44.9750","3.9595","817.2170","4509344.2329","312121.9596","4485960.7853"
"UEAU","43.5277","1.5003","207.5069","4630332.5359","121274.9154","4370340.0600"
"STLY","43.4987","1.2453","236.3680","4633069.7787","100715.6490","4368018.4864"
"LAWI","48.4206","7.6086","212.6420","4203646.0821","561529.5626","4748204.7478"
"IUTC","46.7764","4.8571","237.2160","4360285.6198","370523.0708","4624946.0760"
"MAGC","45.7911","2.8850","861.9130","4449946.0850","224257.7695","4549706.3486"
"FORC","43.9601","5.7806","616.3741","4575610.5015","463209.0055","4405330.8806"
"ENSG","48.8411","2.5873","160.4420","4201576.3238","189861.1118","4779065.2530"
"MANT","43.4163","1.3732","237.2870","4639131.8599","111203.8781","4361370.9782"
